# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715581.91214 0.595768 0.389652 -0.058941 0.830631 -0.080515 0.541637 0.100987 0.0000291787 -0.0000034162 0.0000052333 0.0002057772 0.0000294971 0.0000474575 0.0001727307 0.0000885453 -0.0000129148 0.0001172516 -0.0000332590 0.0003218453
1403715581.96214 0.616271 0.374304 -0.060410 0.831909 -0.068997 0.543952 0.085343 0.0000266800 -0.0000023350 -0.0000004641 0.0001569627 0.0000150927 0.0000300306 0.0001718608 0.0000874449 -0.0000155322 0.0001176204 -0.0000346416 0.0002945808
1403715582.01214 0.637919 0.361935 -0.055965 0.829262 -0.058082 0.551358 0.070395 0.0000256750 -0.0000023672 -0.0000030197 0.0001233296 0.0000053198 0.0000217758 0.0001713690 0.0000866108 -0.0000180907 0.0001184535 -0.0000357693 0.0002768985
1403715582.06214 0.659140 0.350992 -0.045847 0.822779 -0.048267 0.563594 0.055377 0.0000252952 -0.0000018958 -0.0000042311 0.0000965915 -0.0000012297 0.0000172440 0.0001709351 0.0000858209 -0.0000207544 0.0001194711 -0.0000368925 0.0002633041
1403715582.11214 0.679626 0.341819 -0.034811 0.815384 -0.037352 0.576036 0.044005 0.0000253029 -0.0000017166 -0.0000047451 0.0000740164 -0.0000047334 0.0000143775 0.0001705525 0.0000850518 -0.0000233740 0.0001203952 -0.0000380636 0.0002517417
1403715582.16214 0.697325 0.333322 -0.026897 0.809038 -0.026766 0.586106 0.034939 0.0000254028 -0.0000013211 -0.0000049475 0.0000560196 -0.0000063115 0.0000124177 0.0001706256 0.0000843864 -0.0000253078 0.0001211613 -0.0000392122 0.0002425399
1403715582.21214 0.714477 0.325466 -0.019500 0.803128 -0.017947 0.594930 0.026873 0.0000255279 -0.0000009597 -0.0000049990 0.0000435467 -0.0000065036 0.0000109973 0.0001712635 0.0000838296 -0.0000262869 0.0001218890 -0.0000400778 0.0002363984
1403715582.26214 0.730118 0.318921 -0.016342 0.801289 -0.009635 0.597781 0.022363 0.0000255608 -0.0000006563 -0.0000051500 0.0000340476 -0.0000058210 0.0000097442 0.0001719780 0.0000834126 -0.0000270840 0.0001225163 -0.0000407269 0.0002316369
1403715582.31214 0.745982 0.312467 -0.015952 0.803023 -0.002555 0.595615 0.019744 0.0000253983 -0.0000002560 -0.0000055570 0.0000262138 -0.0000045879 0.0000085453 0.0001722182 0.0000830216 -0.0000281994 0.0001228246 -0.0000415094 0.0002274047
1403715582.36214 0.761909 0.306398 -0.017788 0.806406 0.003014 0.591066 0.018463 0.0000252238 0.0000000514 -0.0000059766 0.0000210656 -0.0000035566 0.0000076258 0.0001723723 0.0000827786 -0.0000289852 0.0001233038 -0.0000419553 0.0002248601
1403715582.41214 0.779223 0.301288 -0.018760 0.809401 0.007813 0.586908 0.018647 0.0000249681 0.0000004599 -0.0000064444 0.0000162026 -0.0000024846 0.0000068097 0.0001713038 0.0000826700 -0.0000304737 0.0001234645 -0.0000426173 0.0002218245
1403715582.46214 0.795679 0.297858 -0.019920 0.814109 0.010729 0.580318 0.018504 0.0000246677 0.0000007934 -0.0000068813 0.0000127818 -0.0000017453 0.0000063232 0.0001702860 0.0000823236 -0.0000317288 0.0001235401 -0.0000431434 0.0002196995
1403715582.51214 0.808970 0.296147 -0.021616 0.819357 0.012342 0.572843 0.018773 0.0000243899 0.0000009434 -0.0000072814 0.0000107099 -0.0000013563 0.0000061399 0.0001700883 0.0000820444 -0.0000323747 0.0001238857 -0.0000434779 0.0002184676
1403715582.56214 0.824833 0.297075 -0.019861 0.823139 0.012149 0.567404 0.018627 0.0000241112 0.0000010378 -0.0000076135 0.0000087971 -0.0000009921 0.0000059858 0.0001692965 0.0000815986 -0.0000332316 0.0001237646 -0.0000438454 0.0002170893
1403715582.61214 0.838583 0.298575 -0.015937 0.826620 0.011696 0.562307 0.019309 0.0000238875 0.0000010632 -0.0000078578 0.0000077007 -0.0000008554 0.0000059396 0.0001692926 0.0000811084 -0.0000336912 0.0001238396 -0.0000442631 0.0002160989
1403715582.66214 0.852594 0.301342 -0.009589 0.829474 0.010011 0.558108 0.019700 0.0000236996 0.0000010145 -0.0000080533 0.0000068613 -0.0000007703 0.0000059205 0.0001696060 0.0000807200 -0.0000338651 0.0001238694 -0.0000444894 0.0002153638
1403715582.71214 0.867867 0.305564 -0.002125 0.832118 0.007393 0.554176 0.020324 0.0000235068 0.0000009694 -0.0000082280 0.0000062633 -0.0000007261 0.0000059311 0.0001699497 0.0000802247 -0.0000340124 0.0001238955 -0.0000448510 0.0002147521
1403715582.76214 0.884687 0.310863 0.004701 0.834019 0.004337 0.551296 0.021591 0.0000233350 0.0000009148 -0.0000083612 0.0000058507 -0.0000006947 0.0000059368 0.0001704582 0.0000797335 -0.0000339604 0.0001239479 -0.0000450824 0.0002143857
1403715582.81214 0.902479 0.317080 0.008595 0.836699 0.000906 0.547179 0.023005 0.0000231155 0.0000008522 -0.0000085349 0.0000055064 -0.0000006710 0.0000060056 0.0001710366 0.0000792410 -0.0000338708 0.0001240223 -0.0000452568 0.0002140112
1403715582.86214 0.921955 0.324886 0.006220 0.839804 -0.002871 0.542309 0.024915 0.0000227747 0.0000008549 -0.0000087710 0.0000051516 -0.0000006260 0.0000061414 0.0001716447 0.0000787319 -0.0000337230 0.0001241263 -0.0000451381 0.0002131801
1403715582.91214 0.942424 0.332090 0.003505 0.843744 -0.005786 0.536025 0.027191 0.0000224572 0.0000008331 -0.0000089982 0.0000049751 -0.0000006157 0.0000063074 0.0001723979 0.0000782259 -0.0000335771 0.0001241628 -0.0000449752 0.0002126483
1403715582.96214 0.965471 0.340170 -0.002965 0.847574 -0.009026 0.529814 0.028880 0.0000221191 0.0000007778 -0.0000092432 0.0000047531 -0.0000005992 0.0000065135 0.0001729727 0.0000777337 -0.0000334994 0.0001243948 -0.0000448524 0.0002120370
1403715583.01214 0.991254 0.349073 -0.012633 0.850849 -0.012244 0.524383 0.030488 0.0000218233 0.0000007553 -0.0000094463 0.0000045572 -0.0000005793 0.0000067032 0.0001735743 0.0000772349 -0.0000334506 0.0001248441 -0.0000447227 0.0002115628
1403715583.06214 1.021343 0.358299 -0.024754 0.852743 -0.014842 0.521125 0.032200 0.0000215926 0.0000007895 -0.0000095688 0.0000043243 -0.0000005757 0.0000068091 0.0001739701 0.0000767396 -0.0000335117 0.0001253858 -0.0000444233 0.0002108699
1403715583.11214 1.055133 0.368661 -0.037701 0.852005 -0.018179 0.522187 0.032825 0.0000215924 0.0000007618 -0.0000095389 0.0000040555 -0.0000005705 0.0000067107 0.0001742742 0.0000761126 -0.0000336824 0.0001263175 -0.0000442516 0.0002101217
1403715583.16214 1.093643 0.380232 -0.049584 0.845847 -0.020486 0.531962 0.033762 0.0000219713 0.0000007604 -0.0000091910 0.0000038461 -0.0000005437 0.0000062385 0.0001749136 0.0000755417 -0.0000336193 0.0001275429 -0.0000439066 0.0002095629
1403715583.21214 1.133712 0.392413 -0.061516 0.837553 -0.023392 0.544833 0.033394 0.0000224708 0.0000007060 -0.0000087060 0.0000036454 -0.0000004975 0.0000056597 0.0001758336 0.0000748286 -0.0000334504 0.0001290741 -0.0000436247 0.0002091188
1403715583.26214 1.175292 0.405378 -0.072971 0.827235 -0.027013 0.560361 0.030796 0.0000230719 0.0000005359 -0.0000080774 0.0000034623 -0.0000004110 0.0000050202 0.0001768457 0.0000740905 -0.0000332391 0.0001308793 -0.0000434185 0.0002088535
1403715583.31214 1.218589 0.418120 -0.083701 0.816985 -0.030579 0.575185 0.027615 0.0000236320 0.0000003443 -0.0000074243 0.0000033025 -0.0000003227 0.0000044471 0.0001779624 0.0000733401 -0.0000328759 0.0001328994 -0.0000431781 0.0002088173
1403715583.36214 1.260242 0.430565 -0.094348 0.806270 -0.033916 0.590105 0.023562 0.0000241672 0.0000001031 -0.0000067145 0.0000031835 -0.0000002371 0.0000039127 0.0001795607 0.0000726409 -0.0000323753 0.0001351227 -0.0000429216 0.0002088828
1403715583.41214 1.301724 0.443951 -0.105915 0.795928 -0.036974 0.603953 0.019307 0.0000246199 -0.0000001538 -0.0000060363 0.0000031060 -0.0000001673 0.0000034742 0.0001814331 0.0000719742 -0.0000318378 0.0001374111 -0.0000426849 0.0002090087
1403715583.46214 1.340808 0.456548 -0.117684 0.786558 -0.038945 0.616087 0.015676 0.0000249981 -0.0000003485 -0.0000053977 0.0000030713 -0.0000001330 0.0000031255 0.0001836611 0.0000713799 -0.0000312958 0.0001398425 -0.0000424827 0.0002092533
1403715583.51214 1.377292 0.469037 -0.129483 0.777632 -0.039303 0.627342 0.013670 0.0000253266 -0.0000004476 -0.0000047718 0.0000030420 -0.0000001293 0.0000028274 0.0001859560 0.0000708491 -0.0000308310 0.0001421787 -0.0000422618 0.0002094027
1403715583.56214 1.408531 0.480493 -0.141691 0.768174 -0.039457 0.638924 0.011297 0.0000256245 -0.0000005475 -0.0000040953 0.0000030124 -0.0000001307 0.0000025500 0.0001880976 0.0000703554 -0.0000306381 0.0001443138 -0.0000420378 0.0002092960
1403715583.61214 1.436403 0.492621 -0.153215 0.754642 -0.038702 0.654920 0.009834 0.0000259673 -0.0000006091 -0.0000031334 0.0000030020 -0.0000001566 0.0000022444 0.0001902398 0.0000700159 -0.0000305357 0.0001462197 -0.0000418687 0.0002092494
1403715583.66214 1.458345 0.504150 -0.164786 0.739563 -0.036417 0.672013 0.010952 0.0000262534 -0.0000005225 -0.0000020391 0.0000029845 -0.0000002018 0.0000019959 0.0001919286 0.0000696489 -0.0000307577 0.0001478508 -0.0000417190 0.0002090370
1403715583.71214 1.473424 0.515460 -0.177348 0.724390 -0.033784 0.688459 0.011933 0.0000264378 -0.0000004325 -0.0000009476 0.0000029778 -0.0000002434 0.0000018557 0.0001934958 0.0000694073 -0.0000310585 0.0001491706 -0.0000416359 0.0002089203
1403715583.76214 1.479384 0.524970 -0.190406 0.710932 -0.030596 0.702472 0.013155 0.0000265106 -0.0000002929 0.0000000100 0.0000029423 -0.0000002756 0.0000018119 0.0001941526 0.0000690026 -0.0000318181 0.0001497621 -0.0000416701 0.0002086234
1403715583.81214 1.477126 0.535683 -0.202691 0.699306 -0.027741 0.714141 0.014286 0.0000265228 -0.0000001773 0.0000008137 0.0000029000 -0.0000003040 0.0000018323 0.0001938787 0.0000688497 -0.0000329627 0.0001498100 -0.0000417435 0.0002082088
1403715583.86214 1.462879 0.545833 -0.211766 0.691013 -0.026222 0.722249 0.013064 0.0000264989 -0.0000001767 0.0000013577 0.0000028386 -0.0000003337 0.0000018495 0.0001908959 0.0000689794 -0.0000354394 0.0001490830 -0.0000415865 0.0002069459
1403715583.91214 1.436549 0.555761 -0.218207 0.688701 -0.026403 0.724488 0.010530 0.0000265044 -0.0000002821 0.0000015126 0.0000027736 -0.0000003665 0.0000018646 0.0001881989 0.0000689445 -0.0000370245 0.0001476525 -0.0000417942 0.0002065635
1403715583.96214 1.397775 0.566031 -0.220111 0.689990 -0.028328 0.723244 0.005481 0.0000265390 -0.0000005313 0.0000013989 0.0000027081 -0.0000004066 0.0000018524 0.0001850402 0.0000690070 -0.0000383915 0.0001455706 -0.0000420495 0.0002063145
1403715584.01214 1.344449 0.575730 -0.218690 -0.694881 0.031608 -0.718427 0.001678 0.0000265807 -0.0000009066 0.0000010363 0.0000026407 -0.0000004428 0.0000018167 0.0001813134 0.0000692570 -0.0000394855 0.0001428355 -0.0000422539 0.0002060916
1403715584.06214 1.286642 0.584342 -0.210792 -0.703642 0.035504 -0.709615 0.008595 0.0000266094 -0.0000012927 0.0000004002 0.0000025828 -0.0000004517 0.0000017818 0.0001785345 0.0000696255 -0.0000399942 0.0001393899 -0.0000424809 0.0002060658
1403715584.11214 1.219534 0.591666 -0.199099 -0.716232 0.040040 -0.696521 0.016335 0.0000265818 -0.0000017406 -0.0000005239 0.0000025602 -0.0000004216 0.0000017881 0.0001766808 0.0000702371 -0.0000402381 0.0001361215 -0.0000426526 0.0002061202
1403715584.16214 1.142695 0.597160 -0.183783 -0.731520 0.044084 -0.680033 0.022125 0.0000264603 -0.0000021024 -0.0000016497 0.0000025514 -0.0000003435 0.0000018869 0.0001754349 0.0000711853 -0.0000403462 0.0001327498 -0.0000428423 0.0002062391
1403715584.21214 1.058744 0.600417 -0.164172 -0.748623 0.048203 -0.660617 0.028725 0.0000261814 -0.0000024921 -0.0000029290 0.0000025548 -0.0000002150 0.0000021240 0.0001744605 0.0000724028 -0.0000403427 0.0001292940 -0.0000429859 0.0002063690
1403715584.26214 0.969094 0.601157 -0.141980 -0.768467 0.050646 -0.637072 0.032134 0.0000257175 -0.0000026979 -0.0000044028 0.0000025661 -0.0000000431 0.0000025774 0.0001737927 0.0000738872 -0.0000401953 0.0001261225 -0.0000431722 0.0002066459
1403715584.31214 0.875481 0.600210 -0.120660 -0.786646 0.051550 -0.614283 0.034460 0.0000251384 -0.0000028065 -0.0000057235 0.0000025625 0.0000001209 0.0000031638 0.0001733142 0.0000755283 -0.0000399593 0.0001232956 -0.0000433609 0.0002069846
1403715584.36214 0.781634 0.596175 -0.101051 -0.801256 0.052753 -0.594831 0.037167 0.0000245284 -0.0000029222 -0.0000067861 0.0000025826 0.0000002800 0.0000037814 0.0001730055 0.0000772581 -0.0000395952 0.0001209440 -0.0000435480 0.0002074615
1403715584.41214 0.687420 0.590165 -0.086156 -0.813339 0.051838 -0.578331 0.036399 0.0000239935 -0.0000028573 -0.0000076228 0.0000025616 0.0000003662 0.0000043676 0.0001727481 0.0000790088 -0.0000391344 0.0001191240 -0.0000437301 0.0002080000
1403715584.46214 0.592987 0.581195 -0.077052 -0.822752 0.050323 -0.565129 0.034280 0.0000235596 -0.0000027307 -0.0000082481 0.0000025289 0.0000003995 0.0000048703 0.0001725998 0.0000807380 -0.0000385869 0.0001178356 -0.0000439053 0.0002086075
1403715584.51214 0.500514 0.569809 -0.070841 -0.829051 0.048974 -0.556072 0.032551 0.0000232508 -0.0000026290 -0.0000086637 0.0000025049 0.0000004101 0.0000052388 0.0001724539 0.0000824482 -0.0000379562 0.0001170729 -0.0000440603 0.0002092704
1403715584.56214 0.410118 0.556525 -0.065037 -0.834255 0.047674 -0.548446 0.030872 0.0000229859 -0.0000025365 -0.0000090045 0.0000024870 0.0000004127 0.0000055635 0.0001723838 0.0000840579 -0.0000372450 0.0001168609 -0.0000442075 0.0002099760
1403715584.61214 0.322143 0.541004 -0.059197 -0.837911 0.045789 -0.543175 0.027729 0.0000228286 -0.0000023799 -0.0000092412 0.0000024608 0.0000003701 0.0000057903 0.0001723186 0.0000855886 -0.0000365111 0.0001171035 -0.0000443165 0.0002106539
1403715584.66214 0.236646 0.523101 -0.052697 -0.841311 0.041023 -0.538570 0.021323 0.0000227287 -0.0000020320 -0.0000094554 0.0000024060 0.0000002342 0.0000059979 0.0001723490 0.0000869914 -0.0000356784 0.0001178177 -0.0000444367 0.0002113660
1403715584.71214 0.153820 0.503199 -0.046025 -0.844844 0.033554 -0.533838 0.011368 0.0000226374 -0.0000014825 -0.0000096699 0.0000023340 0.0000000003 0.0000062090 0.0001724037 0.0000882910 -0.0000348225 0.0001189275 -0.0000445257 0.0002120174
1403715584.76214 0.075005 0.481597 -0.038321 -0.848034 0.027104 -0.529245 0.001848 0.0000225273 -0.0000009730 -0.0000098590 0.0000022977 -0.0000002270 0.0000064059 0.0001726286 0.0000894415 -0.0000339013 0.0001204262 -0.0000446128 0.0002126841
1403715584.81214 -0.001228 0.460289 -0.031253 0.849732 -0.022281 0.526707 0.006213 0.0000224757 -0.0000005733 -0.0000099651 0.0000022582 -0.0000003972 0.0000064959 0.0001725942 0.0000905274 -0.0000332372 0.0001221977 -0.0000446110 0.0002129363
1403715584.86214 -0.074486 0.438449 -0.024552 0.851150 -0.019041 0.524425 0.012630 0.0000224230 -0.0000002555 -0.0000100552 0.0000022231 -0.0000005233 0.0000065718 0.0001728207 0.0000915683 -0.0000326217 0.0001241896 -0.0000445407 0.0002130543
1403715584.91214 -0.144517 0.417256 -0.016641 0.853777 -0.015582 0.520057 0.019065 0.0000222691 0.0000000777 -0.0000102151 0.0000021729 -0.0000006558 0.0000067442 0.0001729448 0.0000925121 -0.0000321479 0.0001264974 -0.0000445203 0.0002128801
1403715584.96214 -0.211673 0.396871 -0.010281 0.857115 -0.010247 0.514250 0.028213 0.0000220022 0.0000005697 -0.0000104192 0.0000021007 -0.0000008600 0.0000069851 0.0001729263 0.0000936282 -0.0000321595 0.0001285624 -0.0000441542 0.0002121569
1403715585.01214 -0.275848 0.377608 -0.004689 0.861912 -0.007679 0.505877 0.033712 0.0000216193 0.0000008393 -0.0000106935 0.0000020783 -0.0000010007 0.0000073647 0.0001734475 0.0000943678 -0.0000317402 0.0001311767 -0.0000441317 0.0002119940
1403715585.06214 -0.336646 0.359701 -0.000525 0.866996 -0.008074 0.496959 0.035833 0.0000211949 0.0000009156 -0.0000109870 0.0000020050 -0.0000010356 0.0000077933 0.0001737147 0.0000951843 -0.0000317246 0.0001338140 -0.0000439783 0.0002113888
1403715585.11214 -0.391130 0.343048 0.004918 0.871862 -0.010376 0.488344 0.035627 0.0000207900 0.0000008678 -0.0000112548 0.0000019446 -0.0000010124 0.0000082187 0.0001743343 0.0000959252 -0.0000315484 0.0001365058 -0.0000437611 0.0002110629
1403715585.16214 -0.441510 0.327780 0.009700 0.875856 -0.011837 0.481082 0.036006 0.0000204375 0.0000008495 -0.0000114730 0.0000018854 -0.0000010113 0.0000085979 0.0001750708 0.0000964409 -0.0000313761 0.0001392551 -0.0000437194 0.0002107335
1403715585.21214 -0.484687 0.313796 0.017199 0.877877 -0.014113 0.477449 0.034286 0.0000202403 0.0000007599 -0.0000115763 0.0000017666 -0.0000009379 0.0000087748 0.0001752333 0.0000972315 -0.0000318437 0.0001410635 -0.0000433669 0.0002097320
1403715585.26214 -0.520174 0.300864 0.026349 0.877031 -0.013851 0.478980 0.034672 0.0000203311 0.0000007925 -0.0000115398 0.0000016884 -0.0000009386 0.0000086869 0.0001755379 0.0000976984 -0.0000321683 0.0001431726 -0.0000433674 0.0002090538
1403715585.31214 -0.548455 0.291802 0.038506 0.873427 -0.014322 0.485568 0.033812 0.0000206045 0.0000007900 -0.0000113454 0.0000014628 -0.0000008684 0.0000083183 0.0001738947 0.0000981519 -0.0000342083 0.0001433435 -0.0000431476 0.0002064427
1403715585.36214 -0.572094 0.281795 0.049483 0.868607 -0.011845 0.494112 0.035148 0.0000210513 0.0000009024 -0.0000111024 0.0000014357 -0.0000009054 0.0000078819 0.0001742207 0.0000983349 -0.0000344239 0.0001451288 -0.0000432718 0.0002061837
1403715585.41214 -0.590379 0.272957 0.060881 0.863685 -0.009977 0.502660 0.035807 0.0000215022 0.0000009791 -0.0000108343 0.0000013943 -0.0000009152 0.0000074385 0.0001741821 0.0000984024 -0.0000348703 0.0001466575 -0.0000433780 0.0002057889
1403715585.46214 -0.609479 0.264914 0.070018 0.859436 -0.008034 0.509899 0.036165 0.0000217081 0.0000010619 -0.0000105790 0.0000012195 -0.0000008997 0.0000070724 0.0001710194 0.0000981330 -0.0000374700 0.0001451760 -0.0000433534 0.0002036188
1403715585.51214 -0.619107 0.259988 0.081563 0.854654 -0.005432 0.517820 0.037419 0.0000221169 0.0000011778 -0.0000102837 0.0000012143 -0.0000009304 0.0000066590 0.0001710037 0.0000981480 -0.0000377056 0.0001465061 -0.0000434949 0.0002035767
1403715585.56214 -0.626754 0.257036 0.092008 0.849195 -0.002543 0.526644 0.038826 0.0000225260 0.0000013049 -0.0000099537 0.0000011918 -0.0000009577 0.0000062321 0.0001706095 0.0000980817 -0.0000382474 0.0001471559 -0.0000436911 0.0002032987
1403715585.61214 -0.630581 0.255436 0.101791 0.845319 -0.000288 0.532786 0.039675 0.0000228158 0.0000013983 -0.0000097066 0.0000011849 -0.0000009759 0.0000059348 0.0001704523 0.0000980152 -0.0000385831 0.0001477970 -0.0000438974 0.0002032238
1403715585.66214 -0.639159 0.253720 0.105710 0.841960 0.001642 0.538040 0.040165 0.0000228280 0.0000014529 -0.0000094743 0.0000010941 -0.0000009586 0.0000056944 0.0001673481 0.0000971901 -0.0000405687 0.0001444764 -0.0000442143 0.0002019135
1403715585.71214 -0.638954 0.254625 0.111815 0.841212 0.002748 0.539191 0.040349 0.0000229052 0.0000014976 -0.0000094049 0.0000011016 -0.0000009732 0.0000056134 0.0001673814 0.0000972915 -0.0000406663 0.0001452862 -0.0000442945 0.0002020675
1403715585.76214 -0.636736 0.257086 0.114967 0.840912 0.003080 0.539698 0.039783 0.0000229423 0.0000014794 -0.0000093875 0.0000011017 -0.0000009667 0.0000055852 0.0001674562 0.0000973282 -0.0000407198 0.0001456524 -0.0000443934 0.0002022335
1403715585.81214 -0.633196 0.261191 0.112704 0.840942 0.000981 0.539909 0.036249 0.0000229789 0.0000012759 -0.0000094003 0.0000010759 -0.0000008820 0.0000055823 0.0001674746 0.0000973247 -0.0000407905 0.0001458583 -0.0000444858 0.0002023796
1403715585.86214 -0.628462 0.268089 0.102797 0.841462 -0.002250 0.539385 0.031628 0.0000228946 0.0000010157 -0.0000094289 0.0000010129 -0.0000007660 0.0000056079 0.0001655961 0.0000963416 -0.0000415312 0.0001441375 -0.0000442320 0.0002018147
